id	title	description	link	image_link	availability	price	brand	condition	gtin	mpn	google_product_category	product_type	shipping_weight	item_group_id	shipping
OHS-32OZ-200PPM-RTU-RETAIL	32oz EPA Registered Cleaner 200 PPM - EPA + USDA Certified	Professional-strength 200ppm ready-to-use hypochlorous acid cleaner and disinfectant. Kills 99.9% of pathogens including bacteria, viruses, and fungi. Safe for food contact surfaces, toys, and skin. EPA registered (#97801-1) and USDA Certified Organic (#Z-699995-2008). Available in Utah only. Made in Utah, USA.	https://organichyposolutions.com/products.html	https://organichyposolutions.com/assets/images/products/32oz_epa_ready_to_use_cleaner.jpeg	in stock	21.99 USD	Organic HypoSolutions	new		OHS-32OZ-200PPM-RTU-RETAIL	Home & Garden > Household Supplies > Household Cleaning Supplies	Cleaner & Disinfectant	2.5 lb	ohs-32oz-epa-200ppm	US:::0 USD
OHS-1GAL-200PPM-RTU-RETAIL	1 Gallon EPA Registered Solution 200 PPM - EPA + USDA Certified	Bulk premium 200ppm professional-grade hypochlorous acid cleaner and disinfectant for large-scale applications. Kills 99.9% of pathogens including bacteria, viruses, and fungi. Perfect for commercial facilities, restaurants, and high-volume cleaning. EPA registered (#97801-1) and USDA Certified Organic (#Z-699995-2008). Available in Utah only. Made in Utah, USA.	https://organichyposolutions.com/products.html	https://organichyposolutions.com/assets/images/products/1_gallon_epa_ready_to_use_solution.jpg	in stock	34.99 USD	Organic HypoSolutions	new		OHS-1GAL-200PPM-RTU-RETAIL	Home & Garden > Household Supplies > Household Cleaning Supplies	Cleaner & Disinfectant	9 lb	ohs-1gal-epa-200ppm	US:::0 USD
OHS-32OZ-500PPM-RTU-RETAIL	32oz EPA Registered Cleaner 500 PPM - EPA + USDA Certified	Professional-strength 500ppm ready-to-use hypochlorous acid cleaner and disinfectant. Higher concentration for heavy-duty commercial and industrial applications. Kills 99.9% of pathogens including bacteria, viruses, and fungi. EPA registered (#97801-1) and USDA Certified Organic (#Z-699995-2008). Available in Utah only. Made in Utah, USA.	https://organichyposolutions.com/products.html	https://organichyposolutions.com/assets/images/products/32oz-epa-500ppm.jpeg	in stock	21.99 USD	Organic HypoSolutions	new		OHS-32OZ-500PPM-RTU-RETAIL	Home & Garden > Household Supplies > Household Cleaning Supplies	Cleaner & Disinfectant	2.5 lb	ohs-32oz-epa-500ppm	US:::0 USD
OHS-1GAL-500PPM-RTU-RETAIL	1 Gallon EPA Registered Solution 500 PPM - EPA + USDA Certified	Bulk premium 500ppm professional-grade hypochlorous acid cleaner and disinfectant for heavy-duty large-scale applications. Higher concentration formula for commercial and industrial use. Kills 99.9% of pathogens. EPA registered (#97801-1) and USDA Certified Organic (#Z-699995-2008). Available in Utah only. Made in Utah, USA.	https://organichyposolutions.com/products.html	https://organichyposolutions.com/assets/images/products/1gal-epa-500ppm.jpg	in stock	34.99 USD	Organic HypoSolutions	new		OHS-1GAL-500PPM-RTU-RETAIL	Home & Garden > Household Supplies > Household Cleaning Supplies	Cleaner & Disinfectant	9 lb	ohs-1gal-epa-500ppm	US:::0 USD
USDA-OHS-32OZ-RTU-RETAIL	32oz USDA Certified Organic Ready-to-Use Cleaner	Professional-strength ready-to-use hypochlorous acid cleaner. Safe for food contact surfaces, toys, and skin. Perfect for homes, offices, restaurants, and healthcare facilities. No harsh chemicals, no toxic fumes. Simply spray and wipe. USDA Certified Organic (#Z-699995-2008). Ships nationwide. Made in Utah, USA.	https://organichyposolutions.com/products.html	https://organichyposolutions.com/assets/images/products/32oz_organic_ready_to_use_cleaner.jpeg	in stock	19.99 USD	Organic HypoSolutions	new		USDA-OHS-32OZ-RTU-RETAIL	Home & Garden > Household Supplies > Household Cleaning Supplies	Organic Cleaner	2.5 lb	ohs-32oz-usda-organic	US:::0 USD
USDA-OHS-1GAL-RTU-RETAIL	1 Gallon USDA Certified Organic Ready-to-Use Solution	Bulk premium professional-grade hypochlorous acid cleaner for large-scale applications. Safe for food contact surfaces and skin. Perfect for commercial facilities and high-volume cleaning needs. Cost-effective bulk solution. USDA Certified Organic (#Z-699995-2008). Ships nationwide. Made in Utah, USA.	https://organichyposolutions.com/products.html	https://organichyposolutions.com/assets/images/products/1_gallon_organic_ready_to_use_solution.jpg	in stock	32.99 USD	Organic HypoSolutions	new		USDA-OHS-1GAL-RTU-RETAIL	Home & Garden > Household Supplies > Household Cleaning Supplies	Organic Cleaner	9 lb	ohs-1gal-usda-organic	US:::0 USD
OHS-ALL-IN-ONE-WIPES-RETAIL	All in One Hypochlorous Organic Wipes - USDA Certified	Convenient pre-moistened hypochlorous acid wipes for quick cleaning on-the-go. Safe for all surfaces including food contact. Ideal for homes, offices, travel, and healthcare. Non-toxic, alcohol-free formula. USDA Certified Organic (#Z-699995-2008). Ships nationwide. Made in Utah, USA.	https://organichyposolutions.com/products.html	https://organichyposolutions.com/assets/images/products/organic_all_in_one_disinfecting_wipes.jpg	in stock	12.99 USD	Organic HypoSolutions	new		OHS-ALL-IN-ONE-WIPES-RETAIL	Home & Garden > Household Supplies > Household Cleaning Supplies	Cleaning Wipes	1 lb	ohs-organic-wipes	US:::0 USD
HC-32OZ-LAUNDRY-BOOSTER-RETAIL	32oz Organic Laundry Booster W/ Cap - USDA Certified	Premium laundry enhancement solution using hypochlorous acid technology. Eliminates odors, brightens whites, and provides antimicrobial protection for fabrics. Safe for all fabric types and colors. Perfect for households and commercial laundries. Non-toxic, eco-friendly alternative to harsh chemicals. USDA Certified Organic (#Z-699995-2008). Ships nationwide. Made in Utah, USA.	https://organichyposolutions.com/products.html	https://organichyposolutions.com/assets/images/products/32oz_organic_laundry.jpeg	in stock	15.99 USD	Organic HypoSolutions	new		HC-32OZ-LAUNDRY-BOOSTER-RETAIL	Home & Garden > Household Supplies > Laundry Supplies	Laundry Booster	2.5 lb	ohs-32oz-laundry-booster	US:::0 USD
HC-1GAL-LAUNDRY-BOOSTER-RETAIL	1 Gallon Organic Laundry Booster W/ Cap - USDA Certified	Bulk premium laundry enhancement solution using hypochlorous acid technology. Eliminates odors, brightens whites, and provides antimicrobial protection for fabrics. Perfect for commercial laundries, hotels, and professional cleaning services. Safe for all fabric types and colors. Eco-friendly alternative to harsh chemicals. USDA Certified Organic (#Z-699995-2008). Ships nationwide. Made in Utah, USA.	https://organichyposolutions.com/products.html	https://organichyposolutions.com/assets/images/products/1gallon_organic_laundry_booster.jpg	in stock	28.99 USD	Organic HypoSolutions	new		HC-1GAL-LAUNDRY-BOOSTER-RETAIL	Home & Garden > Household Supplies > Laundry Supplies	Laundry Booster	9 lb	ohs-1gal-laundry-booster	US:::0 USD
OHS-SKIN-SERUM-100ML-RETAIL	OHS Pure Skin Serum 100ml - USDA Certified Organic	Advanced premium skin wellness serum formulated with hypochlorous acid technology. Professional-grade formulation with premium packaging. Supports skin wellness, soothes irritation, and provides gentle care for all skin types. Perfect for skincare-conscious consumers and dermatology practices. USDA Certified Organic (#Z-699995-2008). Ships nationwide. Made in Utah, USA.	https://organichyposolutions.com/products.html	https://organichyposolutions.com/assets/images/products/healing-skin-serum-100ml.jpeg	in stock	34.99 USD	Organic HypoSolutions	new		OHS-SKIN-SERUM-100ML-RETAIL	Health & Beauty > Personal Care > Cosmetics > Skin Care	Skin Wellness Serum	0.5 lb	ohs-pure-skin-serum-100ml	US:::0 USD
